track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
2610,224163,456|0|29|0|0,25,13,13,0,0,0,22.4053,27,0.829827,2.2036,0.555189,2.89244,1,good,"[31237,32436,38036,54310,65754,108747,119963,128667,135160,171652,171656,179533,179535,]"
2609,224095,660|0|101|0|0,30,4,8,8,0,0,34.8359,15,2.32239,1.11924,1.93601,2.94235,0.5,good,"[30899,54118,120025,151319,151293,190729,190739,192700,]"
2608,224055,496|0|18|0|0,28,2,7,7,0,0,34.1212,10,3.41212,1.50283,1.6479,2.77391,0.285714,fake,"[31412,108514,187000,186993,188867,188881,191829,]"
2607,224037,453|0|94|0|0,26,14,14,0,0,0,25.4416,27,0.942283,2.10772,-0.0132952,2.79344,1,good,"[31414,37567,54051,65621,108442,119794,128570,128472,135107,171500,171503,179432,179355,179356,]"
2606,223999,390|0|38|0|0,26,13,14,0,0,0,17.3427,28,0.619383,1.31309,0.32618,2.67095,0.928571,good,"[31211,37561,53836,65503,108161,119806,119628,128476,128395,135055,171385,171387,179367,179369,]"
2605,223911,459|0|5|0|0,21,7,8,0,0,0,19.2442,20,0.962208,1.41057,2.46248,2.72204,0.875,good,"[37210,73622,76700,79230,141796,145240,148814,153502,]"
2604,223438,446|0|90|0|0,23,12,12,0,0,0,35.1235,31,1.13302,1.92798,2.65991,2.72509,1,good,"[71605,71531,75075,76698,79229,81274,82907,145239,145205,148812,152223,156417,]"
2603,223338,158|0|12|0|0,24,11,11,0,0,0,42.9923,30,1.43308,3.75052,2.82578,2.71643,1,good,"[31494,37246,71496,75056,79216,81259,82894,84176,148753,152182,155364,]"
2602,223200,250|0|3|0|0,26,14,14,0,0,0,29.6777,38,0.780992,1.03371,2.70521,2.83596,1,good,"[30391,71590,75118,78097,79267,79222,81304,81268,82942,82902,145232,148871,152274,155432,]"
2601,223117,83|0|123|0|0,23,11,11,0,0,0,36.5359,30,1.21786,1.22101,2.76566,2.85759,1,good,"[30371,71573,75104,78085,81293,81254,82931,84196,148862,152266,155421,]"
2600,223110,229|0|172|0|0,26,13,13,0,0,0,36.4601,36,1.01278,2.30172,2.84007,2.86534,1,good,"[30390,71586,75114,78093,81301,81266,82939,82900,84203,84180,148805,152212,155383,]"
2599,223049,1|0|115|0|0,23,11,11,0,0,0,39.7449,31,1.28209,1.66558,2.95156,2.77628,1,good,"[30367,71563,75096,78080,80542,81249,82889,84172,84954,152205,155378,]"
2598,222995,478|0|12|0|0,20,11,11,0,0,0,24.3406,33,0.737595,2.08472,2.92498,2.77421,1,good,"[30444,71609,71536,75130,75079,78101,80548,81275,82909,84185,84959,]"
2597,222934,159|0|119|0|0,26,13,13,0,0,0,32.1791,34,0.946445,1.33411,2.64643,2.78485,1,good,"[30437,71579,71497,75108,78088,79219,81261,82896,145184,148755,152184,156383,156406,]"
2596,222832,672|0|63|0|0,27,13,13,0,0,0,27.7191,27,1.02663,1.21728,1.54879,2.85302,1,good,"[31472,37612,38164,53892,65553,108518,119858,140873,144289,186950,186937,189809,189799,]"
